L.p.,crossoverChance,mutationChance,numberOfMixes,nofPointsMax,nofPointsMin,thicknessMax,thicknessMin,divider,size,Benford,Fractal
1,0.42434656839357776,0.0008830206722571016,488,15,12,1,1,263,60052,-9.844570675474555,1.8198478948745878
2,0.6394821582858015,0.0006176403388576819,300,22,4,1,1,717,30384,-10.915869962525752,1.7680351539149424
3,0.17299843217597405,0.00046463365079741346,239,16,1,2,2,131,19722,-1.549536274020845,1.9371732393656982
4,0.4080198786998951,0.0006525561742000966,231,30,10,2,2,1830,81098,-10.359747719028778,1.6603826944450646
5,0.5836741418440247,0.0005599033329028748,338,18,17,2,2,1625,88418,-4.902458045118045,1.8263493074743191
6,0.6906862865320914,0.0007650477868134774,310,19,9,2,1,256,16034,-11.49871485033847,1.7259489431300348
7,0.1861442534159064,0.0005490880404510596,107,9,1,3,1,906,41032,-10.351187838155608,1.9917462218372557
8,0.5360495122762334,0.00011225523781678482,242,5,2,1,1,1908,92274,-12.355854348624288,1.996678602780001
9,0.4288386871714075,0.00044195641876016177,157,31,19,3,1,663,99284,-3.557769306996985,1.8983875396768906
10,0.1059731497420124,0.0001392179861695026,291,5,2,2,1,934,22144,-8.981387596106279,1.989807046084532
11,0.15563059122536932,5.730812249790657e-05,232,3,1,5,3,547,28576,-15.668892976468161,1.9990414556369993
12,0.5659141052760858,0.00028112798256196695,48,33,23,1,1,410,75322,-1.6954264758875117,1.9706249132094884
13,0.5083146636892716,0.0003827651196892984,386,4,4,1,1,191,58012,-5.001959125094055,1.9906150932800215
14,0.3236746617815468,0.0007303844396634837,43,19,11,3,2,841,38780,-8.227242196620203,1.9882607517222415
15,0.7661531679385947,0.0006396987072820541,445,37,17,1,1,1376,69342,-15.145308507764936,1.4553787346141849
16,0.8399961337407088,0.00039924138573415956,279,5,2,3,3,1852,83070,-11.675762900841157,1.9911307082974448
17,0.507342933862191,0.0008311273819539223,347,7,5,3,2,1441,4480,-11.981968253954026,1.6180735378387947
18,0.5702808402045542,0.0007145271347627707,133,20,13,4,2,481,34732,-4.406801504464918,1.8413036787261117
19,0.33246826146720726,0.0008213349177926127,86,3,1,3,3,627,3762,-2.397733010363938,1.9612146708937617
20,0.7983814209836103,0.00042571578632147724,371,38,24,1,1,1034,65856,-15.12324815002764,1.4613174075774427
21,0.22960478312616212,0.0007466852324234813,231,21,19,2,2,1088,38610,-1.5122913203461639,1.9329941214845754
22,0.7905110525884433,0.00012405135376860742,474,7,4,3,2,131,52496,-5.334213389818565,1.9816026639652642
23,0.12413028873252668,0.0005044075682743327,324,7,1,3,2,884,57634,-8.746465308609782,1.9878544636608861
24,0.5882337544525571,0.0006469028716026312,395,8,5,1,1,80,19720,-8.505293046141112,1.8730142456676389
25,0.6478070799929891,0.000309167223022663,264,19,4,1,1,735,15564,-10.36400725214953,1.778838588691088
26,0.6702765648191849,0.0008693946678139503,216,21,3,3,3,833,15184,-11.93269128798112,1.6296942599085622
27,0.7740120823754569,3.449572244446991e-05,272,9,6,5,4,570,9068,-1.59239230046751,1.887526187400454
28,0.8732551444475034,0.0009832588770170723,411,21,2,2,1,196,56162,-10.477059067272773,1.774391875053913
29,0.4888591322374357,0.0006161921893560041,289,8,2,2,2,1303,36260,-1.83744892993795,1.940469336816098
30,0.8626349067450774,0.0003398382671190171,219,13,1,3,3,940,20320,-1.6546460569600157,1.9117200480717518
31,0.6693844321016662,0.00015851111645293571,454,23,21,2,2,1905,77810,-8.123314631729574,1.7297687887673714
32,0.6026956243137936,0.0002456617211318563,410,13,11,4,4,70,48200,-7.000537891157214,1.9822275094248325
33,0.38959411451079384,0.0008819601606500085,362,7,2,3,2,137,28634,-2.7116005180557456,1.9179191512521856
34,0.5875352319968193,0.0009754920253462733,458,3,1,2,1,854,7140,-9.506075598186243,1.7433923085781415
35,0.7819339637347215,0.0007836048214920062,34,13,13,1,1,575,58246,-5.438626813453047,1.9908170838198305
36,0.6512741986184265,0.00042143938063665166,326,20,1,5,2,651,30026,-1.6973339526118394,1.8955047368433264
37,0.8703033540553055,0.00013258449312504803,256,40,17,2,1,1185,62410,-9.96555408370734,1.7353884735737355
38,0.14501097636443847,0.00048552456065074445,271,12,5,1,1,409,71978,-1.501832335238902,1.9657252940203067
39,0.174847983094676,0.0008580329034233485,494,16,13,3,1,387,23378,-9.624504115824601,1.750641878110071
40,0.5179746315862375,0.0008335400052632931,382,3,1,3,1,404,6482,-6.6865726117531885,1.8414234208863673
41,0.37762223973923736,0.0005942029068132183,240,35,22,2,1,1641,77702,-11.97814788381503,1.6227224053736498
42,0.19027092476235197,0.0007635249746589118,196,13,4,1,1,921,53544,-2.7886869209846163,1.9315597667215396
43,0.6490640615101155,0.00037925786350681735,211,18,1,1,1,957,26972,-3.8133697324376254,1.913051315391252
44,0.3155171373222657,0.00032436922440264113,31,22,19,3,3,1315,58832,-13.420019027636842,1.997157066035405
45,0.1582034372158807,0.00013116417247638291,359,2,2,2,2,648,25248,-14.573006117927708,1.9977590191158883
46,0.851739142061507,0.0004754645769035458,485,8,7,2,2,556,17920,-6.384215183472295,1.8231672218131019
47,0.7161182552781277,0.0005872199621033658,219,39,11,3,2,1884,75170,-12.146903004532845,1.5845493594136961
48,0.814581817344678,0.0008657527480848569,80,32,24,1,1,420,18226,-8.953090828409957,1.8170429786933306
49,0.7722362972536463,0.0006457030663297327,21,6,1,3,3,299,29372,-11.394549705298385,1.9943166426364884
50,0.22688789606116835,0.0009120234223727729,440,11,11,2,1,504,9588,-10.645972622129484,1.741982029383873
51,0.14580324747895157,0.0007548422500749019,330,34,2,1,1,550,4520,-15.476701215990698,1.4741935560430954
52,0.7011236651335454,0.0009877778404632648,104,22,6,3,2,1627,5290,-15.507436572247546,1.3273372659722018
53,0.5578909927952749,0.0006645009892528254,198,9,8,2,2,336,15896,-2.3655994382268006,1.9118251235942096
54,0.8487570961099155,0.0009725998111918793,120,17,11,3,2,212,47610,-1.9376713405452444,1.919472095235765
55,0.26522421314472433,0.0009144346790071647,401,21,4,2,1,1929,18878,-15.256644016799955,1.377231071756037
56,0.4024035751625791,0.0008301732346256454,317,4,2,2,2,1126,22960,-2.412301471731324,1.9511218641982764
57,0.8487388176466721,0.0009702864988151555,489,10,3,2,1,425,17466,-14.531702669324789,1.5326442116638985
58,0.5083234925212484,0.0007355045861185875,90,9,5,2,1,716,37350,-2.882435525115727,1.970328290900437
59,0.773477235316034,0.0002694131459979045,431,4,4,2,2,778,32806,-10.789240555147392,1.9921142292703646
60,0.12064715316184281,0.0005961140756352135,178,3,2,4,4,911,58274,-16.010985739018732,1.9994169637728003
61,0.668005419843203,0.00018525255881713114,373,13,13,1,1,663,52640,-1.8244293622879049,1.953233681695247
62,0.1397394000016428,0.0003895452563069974,477,19,10,1,1,1067,62618,-8.51419740602692,1.8164014863699343
63,0.4523710308512774,0.0001462895671516811,28,33,25,2,1,215,92070,-6.343130601826569,1.991457765869808
64,0.8856893098912263,0.00018213716075547788,218,6,3,1,1,872,44746,-4.775633207976848,1.986453908734622
65,0.8933756826621008,0.00032699409283343077,146,16,3,1,1,348,56354,-1.8834202305110237,1.9540617650666374
66,0.5005229232836536,0.00011757898259442726,364,15,13,5,1,803,7460,-9.755114541895944,1.7131722249337433
67,0.48558296719785654,0.00032097594711824465,80,20,4,2,2,339,67328,-1.9075631235204047,1.95495367209158
68,0.20158492983415163,0.00020627484495735926,329,17,14,1,1,1118,23612,-4.79399735832287,1.8949732430386987
69,0.32748580798643323,0.00035572761247983347,280,35,21,1,1,1033,42856,-11.806809970459112,1.6917472811101606
70,0.5501277257772866,0.0007992455161625141,388,19,14,3,2,412,20846,-11.532420823140377,1.6406570257144628
71,0.595526465182963,0.0007085854789452567,48,15,7,2,2,800,39366,-3.6008292815143736,1.9688599757401377
72,0.663120653759734,4.6093197144022245e-05,47,8,7,3,2,373,13684,-5.135049652704417,1.979010048307996
73,0.3081341584233084,0.0006583665368770905,242,31,6,3,3,1922,77118,-8.554376207401807,1.7260391772302208
74,0.5282639891628715,0.0007987014520717315,371,26,16,3,3,1286,14066,-15.2799620280813,1.3459670203969771
75,0.7626731800139241,0.0008315827799307438,225,5,2,1,1,547,30258,-1.711312486377155,1.9598441804453035
76,0.8061820633754568,0.0004042992611925561,432,5,4,3,2,1891,93816,-11.30127211556576,1.9918415890247205
77,0.3344874031514721,0.0006044316490354253,135,18,1,3,3,1059,6562,-9.067005425226638,1.7332632127892367
78,0.20155709212074469,0.0004399498878006506,155,1,1,2,1,548,53928,-15.334886470256372,1.9991695289867968
79,0.277796077215611,0.000606169140068148,263,36,11,2,1,1031,2954,-16.05907155816943,1.206067224630086
80,0.2895631910998392,5.307388487447556e-05,60,2,1,2,1,93,2088,-4.233915481705609,1.9132745456171147
81,0.45916469991184455,6.161786550968628e-05,79,3,2,1,1,64,4134,-7.770760348096089,1.8949451022071906
82,0.16325863407907573,0.0008794355475276991,217,33,27,3,3,706,48162,-5.379313063769669,1.8315546454523854
83,0.2498912670872226,5.268462962676768e-05,63,1,1,2,1,96,4928,-1.6086954670089222,1.9661431455793068
