L.p.,crossoverChance,mutationChance,numberOfMixes,nofPointsMax,nofPointsMin,thicknessMax,thicknessMin,divider,size,Benford
1,0.42434656839357776,0.0008830206722571016,488,15,12,1,1,263,60052,-9.844570675474555
2,0.6394821582858015,0.0006176403388576819,300,22,4,1,1,717,30384,-10.915869962525752
3,0.17299843217597405,0.00046463365079741346,239,16,1,2,2,131,19722,-1.549536274020845
4,0.4080198786998951,0.0006525561742000966,231,30,10,2,2,1830,81098,-10.359747719028778
5,0.5836741418440247,0.0005599033329028748,338,18,17,2,2,1625,88418,-4.902458045118045
6,0.6906862865320914,0.0007650477868134774,310,19,9,2,1,256,16034,-11.49871485033847
7,0.1861442534159064,0.0005490880404510596,107,9,1,3,1,906,41032,-10.351187838155608
8,0.5360495122762334,0.00011225523781678482,242,5,2,1,1,1908,92274,-12.355854348624288
9,0.4288386871714075,0.00044195641876016177,157,31,19,3,1,663,99284,-3.557769306996985
10,0.1059731497420124,0.0001392179861695026,291,5,2,2,1,934,22144,-8.981387596106279
11,0.15563059122536932,5.730812249790657e-05,232,3,1,5,3,547,28576,-15.668892976468161
12,0.5659141052760858,0.00028112798256196695,48,33,23,1,1,410,75322,-1.6954264758875117
13,0.5083146636892716,0.0003827651196892984,386,4,4,1,1,191,58012,-5.001959125094055
14,0.3236746617815468,0.0007303844396634837,43,19,11,3,2,841,38780,-8.227242196620203
15,0.7661531679385947,0.0006396987072820541,445,37,17,1,1,1376,69342,-15.145308507764936
16,0.8399961337407088,0.00039924138573415956,279,5,2,3,3,1852,83070,-11.675762900841157
17,0.507342933862191,0.0008311273819539223,347,7,5,3,2,1441,4480,-11.981968253954026
18,0.5702808402045542,0.0007145271347627707,133,20,13,4,2,481,34732,-4.406801504464918
19,0.33246826146720726,0.0008213349177926127,86,3,1,3,3,627,3762,-2.397733010363938
20,0.7983814209836103,0.00042571578632147724,371,38,24,1,1,1034,65856,-15.12324815002764
21,0.22960478312616212,0.0007466852324234813,231,21,19,2,2,1088,38610,-1.5122913203461639
22,0.7905110525884433,0.00012405135376860742,474,7,4,3,2,131,52496,-5.334213389818565
23,0.12413028873252668,0.0005044075682743327,324,7,1,3,2,884,57634,-8.746465308609782
24,0.5882337544525571,0.0006469028716026312,395,8,5,1,1,80,19720,-8.505293046141112
25,0.6478070799929891,0.000309167223022663,264,19,4,1,1,735,15564,-10.36400725214953
26,0.6702765648191849,0.0008693946678139503,216,21,3,3,3,833,15184,-11.93269128798112
27,0.7740120823754569,3.449572244446991e-05,272,9,6,5,4,570,9068,-1.59239230046751
28,0.8732551444475034,0.0009832588770170723,411,21,2,2,1,196,56162,-10.477059067272773
29,0.4888591322374357,0.0006161921893560041,289,8,2,2,2,1303,36260,-1.83744892993795
30,0.8626349067450774,0.0003398382671190171,219,13,1,3,3,940,20320,-1.6546460569600157
31,0.6693844321016662,0.00015851111645293571,454,23,21,2,2,1905,77810,-8.123314631729574
32,0.6026956243137936,0.0002456617211318563,410,13,11,4,4,70,48200,-7.000537891157214
